hhid,round,comment,LivestockID,animaltype,gender,s6q1,s6q2,s6q3,s6q4,s6q5,s6q6,s6q7,s6q66,s6q67
1008,1,,Camels(Male),Camels,Male,0,,,,,,,,
1008,1,,Camels(Female),Camels,Female,0,,,,,,,,
1008,1,,Sheep(Female),Sheep,Female,3,3,3,3,0,0,0,,
1008,1,,Goats(Male),Goats,Male,0,,,,,,,,
1008,1,,Cattle(Female),Cattle,Female,3,3,3,3,0,0,0,,
1008,1,,Cattle(Male),Cattle,Male,0,,,,,,,,
1008,1,,Sheep(Male),Sheep,Male,0,,,,,,,,
1008,2,,Goats(Female),Goats,Female,0,0,0,0,0,0,0,,
1008,2,,Camels(Female),Camels,Female,0,0,0,0,0,0,0,,
1008,2,,Goats(Male),Goats,Male,0,0,0,0,,,,,
1008,2,,Camels(Male),Camels,Male,0,0,0,0,,,,,
1008,2,,Sheep(Male),Sheep,Male,0,0,0,0,,,,,
1008,2,,Sheep(Female),Sheep,Female,5,5,3,3,0,0,0,,
1008,2,,Cattle(Female),Cattle,Female,2,2,2,0,0,0,0,,
1008,2,,Cattle(Male),Cattle,Male,0,0,0,0,,,,,
1008,3,0,Goats(Female),Goats,Female,0,,,,,,,,
1008,3,0,Camels(Female),Camels,Female,0,,,,,,,,
1008,3,0,Camels(Male),Camels,Male,0,,,,,,,,
1008,3,0,Sheep(Male),Sheep,Male,2,2,1,2,,,,,
1008,3,0,Cattle(Male),Cattle,Male,3,3,2,3,,,,,
1008,3,0,Cattle(Female),Cattle,Female,3,3,2,3,2,2,0,,
1008,3,0,Goats(Male),Goats,Male,0,,,,,,,,
1008,3,0,Sheep(Female),Sheep,Female,5,5,5,5,1,1,0,,
1008,4,0,Goats(Male),Goats,Male,1,1,0,1,,,,,
1008,4,0,Goats(Female),Goats,Female,1,1,1,1,1,1,0,,
1008,4,0,Sheep(Male),Sheep,Male,3,3,1,3,,,,,
1008,4,0,Camels(Female),Camels,Female,0,,,,,,,,
1008,4,0,Camels(Male),Camels,Male,0,,,,,,,,
1008,4,0,Sheep(Female),Sheep,Female,2,2,2,2,1,1,0,,
1008,4,0,Cattle(Female),Cattle,Female,3,3,3,3,2,2,0,,
1008,4,0,Cattle(Male),Cattle,Male,5,5,2,5,,,,,
1008,5,0,Sheep(Female),Sheep,Female,0,,,,,,,,
1008,5,0,Camels(Female),Camels,Female,0,,,,,,,,
1008,5,0,Goats(Female),Goats,Female,0,,,,,,,,
1008,5,0,Cattle(Male),Cattle,Male,2,2,2,2,,,,,
1008,5,0,Sheep(Male),Sheep,Male,0,,,,,,,,
1008,5,0,Camels(Male),Camels,Male,0,,,,,,,,
1008,5,0,Cattle(Female),Cattle,Female,5,5,2,5,2,2,0,,
1008,5,0,Goats(Male),Goats,Male,0,,,,,,,,
1008,6,0,Goats(Male),Goats,Male,0,,,,,,,,
1008,6,0,Goats(Female),Goats,Female,0,,,,,,,,
1008,6,0,Sheep(Male),Sheep,Male,0,,,,,,,,
1008,6,0,Sheep(Female),Sheep,Female,0,,,,,,,,
1008,6,0,Cattle(Male),Cattle,Male,3,3,2,3,,,,,
1008,6,0,Camels(Male),Camels,Male,0,,,,,,,,
1008,6,0,Camels(Female),Camels,Female,0,,,,,,,,
1008,6,0,Cattle(Female),Cattle,Female,6,6,4,6,0,0,0,,
1008,7,,Cattle Both,Cattle,Both,7,7,,,,,,,
1009,1,,Sheep(Male),Sheep,Male,1,1,0,1,,,,,
1009,1,,Cattle(Male),Cattle,Male,0,,,,,,,,
1009,1,,Camels(Male),Camels,Male,0,,,,,,,,
1009,1,,Camels(Female),Camels,Female,0,,,,,,,,
1009,1,,Cattle(Female),Cattle,Female,2,2,1,2,0,0,0,,
1009,1,,Sheep(Female),Sheep,Female,2,2,2,2,1,1,0,,
1009,1,,Goats(Male),Goats,Male,3,3,1,3,,,,,
1009,1,,Goats(Female),Goats,Female,12,12,12,12,2,2,0,,
1009,2,,Camels(Female),Camels,Female,0,0,0,0,0,0,0,,
1009,2,,Goats(Female),Goats,Female,13,13,12,13,0,0,0,,
1009,2,,Cattle(Female),Cattle,Female,2,2,2,2,2,2,0,,
1009,2,,Goats(Male),Goats,Male,5,5,3,5,,,,,
1009,2,,Camels(Male),Camels,Male,0,0,0,0,,,,,
